"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","124","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[2]",""
"passed","","","119","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[4]",""
"failed","","","108","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[2]",""
"passed","","","125","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[1]",""
"passed","","","163","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[3]",""
"passed","","","87","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[4]",""
"passed","","","185","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[2]",""
"passed","","","335","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","authorizationCourierNotLogin",""
"passed","","","142","","сreateCourier.AddNewCourierTest","","сreateCourier.AddNewCourierTest","","newCourier",""
"passed","","","141","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[1]",""
"passed","","","128","","orders.CreateOrderTest","","orders.CreateOrderTest","","requestsSomeColorKickScooter{String, String}[3]",""
"passed","","","94","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousParameters{String, String}[2]",""
"passed","","","75","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[1]",""
"passed","","","199","","сreateCourier.AddNewCourierTest","","сreateCourier.AddNewCourierTest","","createTwoSameCourier",""
"failed","","","60206","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","authorizationCourierNotPassword",""
"passed","","","89","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[3]",""
"passed","","","84","","сreateCourier.CreateNewCourierNotLineTest","","сreateCourier.CreateNewCourierNotLineTest","","createNewCourierVariousParameters{String, String, String}[3]",""
"passed","","","170","","loginСourier.AuthorizationCourierNotLineTest","","loginСourier.AuthorizationCourierNotLineTest","","createNewCourierVariousCreateLogPass{String, String}[1]",""
"passed","","","257","","orders.GetOrdersTest","","orders.GetOrdersTest","","getAllOrdersCourier",""
"passed","","","301","","loginСourier.AuthorizationCourierTests","","loginСourier.AuthorizationCourierTests","","authorizationCourier",""
